organization,transfer_payment_type,transfer_payment_name,exp_1314,exp_1415,exp_1516,exp_1617,exp_1718
Department of Indian Affairs and Northern Development,Grant,Grants to the Sechelt Indian Band pursuant to the Sechelt Indian Band Self-Government Act,6408497,0,0,0,0
Department of Indian Affairs and Northern Development,Contribution,Contribution to support access to healthy foods in isolated northern communities,63879237,65499766,68498325,71871143,77487e3
Department of Indian Affairs and Northern Development,Contribution,Contributions for Groups of Indian Residential School survivors who wish to resolve their claim as a group under the Independent Assessment Process,648475,646426,654500,775842,997500
Department of Indian Affairs and Northern Development,Grant,(S) Grants to Aboriginal organizations designated to receive claim settlement payments pursuant to Comprehensive Land Claim Settlement Acts,67664956,69051514,57412370,69236768,62777288
Department of Indian Affairs and Northern Development,Grant,Grants to support the beneficiaries/organizations for the settlement of specific and special claims,690170,0,0,0,0
Department of Indian Affairs and Northern Development,Contribution,Contributions for emergency management assistance for activities on reserves,77129658,105299211,111982318,115686700,48468584
Department of Indian Affairs and Northern Development,Contribution,Contributions to Indian bands for Land Management Capacity Building,8621734,0,0,0,0
Department of Indian Affairs and Northern Development,Contribution,Contribution for Inuit counselling in the South,8e4,187e3,452e3,0,0
Department of Indian Affairs and Northern Development,Contribution,Contributions for enhancing the financial management capability and networking facilities of the Government of Nunavut,8e5,0,0,0,0
Department of Indian Affairs and Northern Development,Grant,Payments to Yukon First Nations pursuant to individual self-government agreements,81463241,0,0,0,0
Department of Indian Affairs and Northern Development,Contribution,Contributions to Indspire,817e3,0,0,0,0
Department of Indian Affairs and Northern Development,Grant,Grants to First Nations to settle specific and special claims negotiated by Canada and/or awarded by the Specific Claims Tribunal,369287077,36459354,29213199,393695147,1297921874
Department of Indian Affairs and Northern Development,Grant,Grants to support First Nations Elementary and Secondary Educational Advancement,9361,8007,9258,6594,4632
Department of Indian Affairs and Northern Development,Contribution,Contributions to Indian bands for land and estates management,9965391,0,0,0,0
Department of Indian Affairs and Northern Development,Contribution,"Payments to support Indians, Inuit and Innu for the purpose of supplying public services in economic development",92420834,0,0,0,0
Department of Indian Affairs and Northern Development,Grant,Grants to support First Nations and Inuit Post-Secondary Educational Advancement,956304,1047102,994120,1092714,478748
Department of Indigenous Services Canada,Contribution,Contributions to support the construction and maintenance of community infrastructure,0,0,0,0,1069511644
Department of Indigenous Services Canada,Grant,(S) Indian Annuities Treaty payments,0,0,0,0,10
Department of Indigenous Services Canada,Contribution,Contributions for First Nations and Inuit Supplementary Health Benefits,0,0,0,0,103385642
Department of Indigenous Services Canada,Contribution,Contributions to support First Nations and Inuit Post-Secondary Educational Advancement,0,0,0,0,107841796
Department of Indigenous Services Canada,Contribution,(S) Contributions in connection with the First Nations infrastructure,0,0,0,0,19518646
Department of Indigenous Services Canada,Contribution,Contributions for First Nations and Inuit Health Infrastructure Support,0,0,0,0,239136659
Department of Indigenous Services Canada,Contribution,Contributions for First Nations and Inuit Primary Health Care,0,0,0,0,258861903
Department of Indigenous Services Canada,Grant,Grant to the Miawpukek Indian Band to support designated programs,0,0,0,0,3017152
Department of Indigenous Services Canada,Grant,Grants to provide income support to on-reserve residents,0,0,0,0,3039539
Department of Indigenous Services Canada,Contribution,Contributions to increase First Nations and Inuit Youth Participation in Education and Labour Market Opportunities,0,0,0,0,27574355
Department of Indigenous Services Canada,Contribution,Contributions to provide income support to on-reserve residents,0,0,0,0,356640220
Department of Indigenous Services Canada,Contribution,Contributions to support Urban Programming for Indigenous Peoples,0,0,0,0,36673321
Department of Indigenous Services Canada,Grant,Grants to support First Nations and Inuit Post-Secondary Educational Advancement,0,0,0,0,369081
Department of Indigenous Services Canada,Contribution,"Contributions to provide women, children and families with Protection and Prevention Services",0,0,0,0,401883263
Department of Indigenous Services Canada,Grant,Grants to increase First Nations and Inuit Youth Participation in Educational and Labour Market Opportunities,0,0,0,0,45e3
Department of Indigenous Services Canada,Contribution,"Contributions to supply public services in Indian Government Support and to build strong governance, administrative and accountability systems",0,0,0,0,65448210
Department of Indigenous Services Canada,Contribution,Contributions to support First Nations Elementary and Secondary Educational Advancement,0,0,0,0,666506112
Department of Indigenous Services Canada,Contribution,Contributions for emergency management assistance for activities on reserves,0,0,0,0,88442988
Department of Indigenous Services Canada,Grant,Grants to support First Nations Elementary and Secondary Educational Advancement,0,0,0,0,942
Department of Indigenous Services Canada,Contribution,Contributions for the purpose of consultation and policy development,0,0,0,0,962239
Department of Indigenous Services Canada,Grant,Grant for Band Support Funding,0,0,0,0,99125808
Department of Industry,Contribution,Contributions under the Affordable Access Initiative,0,0,0,0,1228e3
Department of Industry,Contribution,Contributions to the Centre for Drug Research and Development,0,0,0,0,16e6
Department of Industry,Contribution,Contributions under the CanCode program,0,0,0,0,17899923
Department of Industry,Contribution,Contributions under the Strategic Innovation Fund,0,0,0,0,35451558
Department of Industry,Contribution,(S) Contributions to the Canadian Institute for Advanced Research,0,0,0,0,75e5
Department of Industry,Contribution,Contributions under the Connect to Innovate Program,0,0,0,0,7224e3
Department of Industry,Contribution,(S) Liabilities under the Small Business Loans Act,0,0,0,10644,0
Department of Industry,Grant,(S) Grant to the Canada Foundation for Sustainable Development Technology,0,0,0,27476242,0
Department of Industry,Contribution,Contributions under the Canada 150 Community Infrastructure Program,0,0,0,3272937,6717518
Department of Industry,Contribution,Contributions under the Bombardier C Series Program,0,0,0,55447443,29725449
Department of Industry,Contribution,Contributions to the Canada Foundation for Sustainable Development Technology,0,0,0,57758760,101540514
Department of Industry,Contribution,Contributions to the Stem Cell Network,0,0,0,6794532,5205468
Department of Industry,Contribution,Contributions under the Post-Secondary Institutions Strategic Investment Fund,0,0,0,740926765,731759904
Department of Industry,Contribution,Contributions to the Let's Talk Science,0,0,2e6,2475e3,2825e3
Department of Industry,Contribution,Contributions to the Council of Canadian Academies,0,0,2e6,3452545,355e4
Department of Industry,Contribution,Contributions to Futurpreneur Canada,0,0,7e6,7e6,7e6
Department of Industry,Contribution,Contributions under the Automotive Supplier Innovation Program,0,0,4031418,14631036,7171364
Department of Industry,Contribution,Contributions under the Connecting Canadians Program,0,0,66980458,69975122,44220537
Department of Industry,Contribution,Contributions under the Technology Demonstration Program,0,2578e3,15067258,28397628,25209647
Department of Industry,Grant,(S) Grant to Genome Canada,0,2e5,74e5,45e5,17e5
Department of Industry,Grant,Grant to the Organization for Economic Co-operation and Development,0,3e5,3e5,3e5,194100
Department of Industry,Contribution,Contributions under the Economic Development Initiative: Roadmap for Canada's Official Languages,0,364600,1335400,1171274,876338
Department of Industry,Contribution,Contributions to the Institute for Quantum Computing,0,5e6,4975e3,5e6,7e6
Department of Industry,Contribution,Contributions to the University of Western Ontario for the creation of the Ivey Centre,1197875,0,0,0,0
Department of Industry,Contribution,Contributions under the Technology Partnership Canada Program,1229775,975619,1279245,334362,1021
Department of Industry,Contribution,Contributions under the Program for Non-Profit Consumer and Voluntary Organizations,1660466,1489929,1025158,1612403,1558337
Department of Industry,Contribution,Contributions to the Perimeter Institute for Theoretical Physics,1e7,1e7,1e7,1e7,1e7
Department of Industry,Contribution,Contributions under the Broadband Connecting Rural Canadian Program,6534431,7960549,12082952,0,0
Department of Industry,Contribution,Contributions to Mitacs Inc.,12975e3,18975e3,19e6,389e5,51e6
Department of Industry,Contribution,Contributions under the Strategic Aerospace and Defence Initiative,182045487,147860478,122576689,152757470,247504760
Department of Industry,Contribution,Contributions to Genome Canada,212e5,225e5,75e5,5e6,354e5
Department of Industry,Contribution,Contributions to CANARIE Inc.,23e6,264e5,15e6,2e7,223e5
Department of Industry,Contribution,Contributions under the Northern Ontario Development Program,28576221,35500400,35279600,3154e4,3064e4
Department of Industry,Contribution,Contributions under the Youth Employment Strategy—Computer for Schools Program,3173299,3479270,3625485,4008678,4596442
Department of Industry,Grant,Grant to the Internal Trade Secretariat Corporation,337500,337500,337500,375e3,375e3
Department of Industry,Contribution,(S) Contributions to Genome Canada,354e5,471e5,525e5,574e5,22e6
Department of Industry,Contribution,Contributions under the Computers for Schools program,4e6,4629713,5523922,5684811,5503898
Department of Industry,Grant,Grant to the International Telecommunication Union,4808e3,5420367,5725e3,5608e3,5633e3
Department of Industry,Contribution,Contributions under the Structured Financing Facility,4861560,0,0,0,0
Department of Industry,Contribution,Contributions to the Canadian Institute for Advanced Research,5e6,5e6,5e6,5e6,5e6
Department of Industry,Contribution,Contributions under the Automotive Innovation Fund,55882771,60069858,92266600,22127500,42572741
Department of Industry,Contribution,(S) Liabilities under the Canada Small Business Financing Act,59184724,66374591,62699806,63079578,51300219
Department of Industry,Grant,Grant to the Institute for Quantum Computing,6e6,0,0,0,0
Department of Industry,Contribution,Contributions under the Community Futures Program,8360008,8360008,8360008,8360008,8360008
Department of Industry,Contribution,Contributions under the Strategic Activities Program,8e5,1091375,769782,312206,1453765
Department of Industry,Contribution,Contributions under the Bombardier CSeries program,81139313,0,0,0,0
Department of Industry,Grant,Grant to the Radio Advisory Board of Canada,85e3,85e3,85e3,85e3,85e3
Department of Industry,Contribution,Contributions under the Canada Foundation for Innovation,853e5,1682e5,1771e5,19855e4,2509e5
Department of Industry,Contribution,(S) Contributions to the Canadian Youth Business Foundation,9e6,9e6,0,0,0
Department of Industry,Contribution,Contributions under the Youth Employment Strategy—Youth Internships Program,9400216,9185399,8960435,9030235,0
Department of Justice,Contribution,Contributions to the provinces to assist in the operation of immigration and refugee legal aid,0,0,0,0,22568880
Department of Justice,Contribution,Contributions under the State-Funded Counsel Component of the Legal Aid Program,0,0,0,0,1104758
Department of Justice,Contribution,Integrated Market Enforcement Teams Reserve Fund,0,0,0,0,56500
Department of Justice,Grant,Grant under the Justice Partnership and Innovation Program,0,1524158,1564610,1524158,1582972
Department of Justice,Contribution,Contributions in support of Federal Court Ordered Counsel Cases,1648144,2509246,1569322,1096622,0
Department of Justice,Grant,Canadian Association of Provincial Court Judges,1e5,0,0,0,0
Department of Justice,Contribution,Contributions to the provinces and territories in support of the youth justice services—Intensive Rehabilitative Custody and Supervision Program,10770273,10846381,11003383,11048e3,11287933
Department of Justice,Contribution,Contributions under the Aboriginal Justice Strategy Fund,12443549,12551752,129e5,13531043,1265e4
Department of Justice,Contribution,Contributions to the provinces to assist in the operation of legal aid systems,120327507,120327507,120327507,135627507,119727507
Department of Justice,Contribution,Contributions to the provinces and territories in support of the youth justice services,141692415,141692415,141692415,141692415,141692415
Department of Justice,Contribution,Contributions in support of the Supporting Families Fund,15999842,15827448,16e6,15997656,15934485
Department of Justice,Contribution,Contributions to the International Institute for the Unification of Private Law (UNIDROIT),192710,172293,193925,178226,194114
Department of Justice,Grant,Grants from the Victims Fund,1745910,1870918,1432852,2284080,2230896
Department of Justice,Contribution,Contributions under the Justice Partnership and Innovation Program,2364470,1356277,1046170,1266867,1356329
Department of Justice,Contribution,Contributions in support of Public Security and Anti-Terrorism—Legal Aid,1282561,1984364,1581135,912915,0
Department of Justice,Grant,Canadian Association of Chiefs of Police for the Law Amendments Committee,25e3,0,0,0,0
Department of Justice,Grant,National Judicial Institute,268345,0,0,0,0
Department of Justice,Contribution,Contributions in support of the Youth Justice Fund,3266760,3935312,3854957,4226123,4111997
Department of Justice,Contribution,Drug Treatment Court Funding Program,3582810,3627823,3579700,3646e3,3781276
Department of Justice,Contribution,Contributions under the Special Advocates Program,343016,257681,153405,152764,44448
Department of Justice,Contribution,Contributions under the Access to Justice in Both Official Languages Support Fund,4231006,6225962,6268735,6247291,6175720
Department of Justice,Contribution,"Contributions for Access to Justice Services to the Territories (being Legal Aid, Aboriginal Courtwork and Public Legal Education and Information Services)",4856593,4856593,4856593,6256593,6406593
Department of Justice,Contribution,Contributions to support the implementation of official languages requirements under the Contraventions Act,4938711,3810821,3363960,3882648,3666498
Department of Justice,Grant,Grants in support of the Youth Justice Fund,482144,69927,69823,79643,79650
Department of Justice,Grant,Grants under the Access to Justice in both Official Languages Support Fund,49466,139070,197275,83965,81727
Department of Justice,Contribution,Contributions to the provinces under the Indigenous Courtwork Program,5155570,5568507,5259779,7918177,7950845
Department of Justice,Grant,Canadian Society for Forensic Science,5e4,0,0,0,0
Department of Justice,Grant,"Uniform Law Conference of Canada, grants - Administration grant",5e4,0,0,0,0
Department of Justice,Grant,Grants under the Aboriginal Justice Strategy Fund,5e4,5e4,5e4,5e4,5e4
Department of Justice,Contribution,Contributions to the Hague Conference on Private International Law,731874,284048,295090,296044,310409
Department of Justice,Contribution,Contributions from the Victims Fund,8929669,9274761,12434287,16463951,24211192
Department of National Defence,Contribution,Contribution to the Canadian Naval Memorial Trust in support of the preservation of HMCS Sackville,0,0,0,0,14e5
Department of National Defence,Contribution,Contributions and Support to the Middle East Strategy,0,0,0,95e5,0
Department of National Defence,Contribution,Search and Rescue Volunteer Association of Canada Contribution Program,0,0,125e3,0,0
Department of National Defence,Grant,Grants in support of the compensation for employers of reservists program,0,0,0,0,33064
Department of National Defence,Contribution,Contributions in support of the Capital Assistance Program,1024471,708303,3307738,5177394,587789
Department of National Defence,Grant,Named Grant to the Institute for Environmental Monitoring and Research,15e5,1165e3,0,0,0
Department of National Defence,Contribution,Contributions in Support of the Military Training and Cooperation Program,10064071,9710559,10360427,10843564,10511857
Department of National Defence,Contribution,Contribution to the Biological and Chemical Defence Review Committee,123120,124320,126682,129089,131412
Department of National Defence,Contribution,COSPAS-SARSAT Secretariat Contribution Program,19e4,19e4,47500,0,0
Department of National Defence,Contribution,North Atlantic Treaty Organization Contribution Program: NATO Other Activities,2128693,1521506,2254358,1787572,2239114
Department of National Defence,Contribution,Contribution to the Civil Air Search and Rescue Association,2773070,2818029,2818087,2908142,3019671
Department of National Defence,Grant,(S) Payments to dependants of certain members of the Royal Canadian Air Force killed while serving as instructors under the British Commonwealth Air Training Plan (Appropriation Act No 4 1968),23392,23656,24046,26397,22684
Department of National Defence,Contribution,Contribution to the Canadian Naval Memorial Trust in support of HMCS Sackville and the Naval Memorial Project,24e4,0,0,0,0
Department of National Defence,Grant,Grant to the Royal Canadian Naval Benevolent Fund,25700,25700,0,0,0
Department of National Defence,Grant,Grants in support of the Defence Engagement Program,250255,367451,496644,499707,550099
Department of National Defence,Contribution,Contribution Program in support of the Remediation of the Former Mid-Canada Line Radar Sites in Ontario,3014e3,4281e3,0,0,0
Department of National Defence,Contribution,(S) Payments under the Supplementary Retirement Benefits Act,3014547,2586516,2115165,1763782,1485401
Department of National Defence,Grant,Grant Program to the National Offices of the Cadet Leagues of Canada: Air Cadet League of Canada,434e3,442e3,45e4,458e3,462e3
Department of National Defence,Grant,Grant Program to the National Offices of the Cadet Leagues of Canada: Army Cadet League of Canada,434e3,442e3,45e4,458e3,462e3
Department of National Defence,Grant,Grant Program to the National Offices of the Cadet Leagues of Canada: Navy League of Canada,434e3,442e3,45e4,458e3,462e3
Department of National Defence,Contribution,Contribution Program in support of the Search and Rescue New Initiatives Fund,5690051,5214102,826978,0,0
Department of National Defence,Contribution,North Atlantic Treaty Organization Contribution Program: NATO Security Investment Program (NATO Programs),40540932,34472281,45922989,33965769,36481238
Department of National Defence,Contribution,(S) Payments under Parts I-IV of the Defence Services Pension Continuation Act (R S C 1970 c D-3),611356,529008,437876,370923,316101
Department of National Defence,Contribution,Canadian Association of Physician Assistants Contribution Program,7e5,741e3,770779,0,0
Department of National Defence,Contribution,North Atlantic Treaty Organization Contribution Program: NATO Military Budget (NATO Programs),95059039,72211779,82591502,84599569,96480064
Department of Natural Resources,Contribution,Contributions in support of the Geo-mapping for Energy and Minerals program,0,0,0,0,5e4
Department of Natural Resources,Contribution,Contributions in Support of Indigenous Economic Development,0,0,0,0,1959767
Department of Natural Resources,Contribution,Contributions for Clean Technology Challenges,0,0,0,0,1e4
Department of Natural Resources,Contribution,Contribution to the Federation of Canadian Municipalities for the Green Municipal Fund,0,0,0,0,625e5
Department of Natural Resources,Contribution,Contributions in support of Indigenous Advisory and Monitoring Committees for Energy Infrastructure Projects,0,0,0,0,4613792
Department of Natural Resources,Contribution,Contributions in support of Transportation and Alternative Fuels,0,0,0,2119e3,13349494
Department of Natural Resources,Contribution,Oil spill Response Science Program,0,0,0,4e5,1537425
Department of Natural Resources,Contribution,Contributions in support of Indigenous Participation in PolicyDialogues,0,0,0,2771965,1111413
Department of Natural Resources,Contribution,Contribution under Enhancing Competitiveness in a Changing Climate,0,0,0,537574,807582
Department of Natural Resources,Grant,Grants in Support of the Targeted Geoscience Initiative,0,0,0,567023,576811
Department of Natural Resources,Contribution,Contributions in support of the Indigenous Consultations Participant Funding Program,0,0,86221,1683348,752072
Department of Natural Resources,Grant,(S) Grant to the Canada Foundation for Sustainable DevelopmentTechnology for the Next Generation Biofuels Fund,0,0,337616,2290112,0
Department of Natural Resources,Contribution,Contribution to the Canada Foundation for Sustainable Development Technology for the Sustainable Development Technology Fund,0,0,6e6,17293e3,0
Department of Natural Resources,Contribution,Contribution in support of the clean-up of the Gunnar uranium mining facilities,0,0,0,0,25e3
Department of Natural Resources,Grant,Grants in support of the Property Value Protection Program and the Municipal Tax Revenue Loss Protection Program associated with low-level radioactive waste clean-up in the Port Hope area,1151088,455232,130495,0,0
Department of Natural Resources,Grant,"Grants in support of organizations associated with the research, development and promotion of activities that contribute to departmental objectives",1596825,1644017,1504948,1685996,2890322
Department of Natural Resources,Contribution,Contribution program for African Model Forest Initiative,1840055,0,0,0,0
Department of Natural Resources,Grant,Grants in support of a sustained engagement and outreach campaign,1e5,88220,0,0,0
Department of Natural Resources,Contribution,Contributions in support of ecoENERGY for Biofuels,113656336,93942654,14904234,3654458,0
Department of Natural Resources,Contribution,(S) Payments of the Crown Share Adjustment for Nova Scotia Offshore Petroleum Resources,12855636,5376337,12322493,1606953,53319
Department of Natural Resources,Contribution,Contributions in support of ecoENERGY for Renewable Power,127117878,128067145,125428503,122280295,107220330
Department of Natural Resources,Contribution,Contribution Program for expanding market opportunities,13639058,11715031,11508776,10675e3,12533643
Department of Natural Resources,Contribution,Contributions in support of the ENERGY Efficiency program,948241,2281254,1599525,1673499,4712124
Department of Natural Resources,Contribution,Renewal and Enhancement of Funding for the Forest Research Institute,2368e3,2368e3,2368e3,2368e3,2368e3
Department of Natural Resources,Contribution,(S) Contribution to the Canada/Nova Scotia Offshore Petroleum Board,2924779,2885480,2070389,1224359,567427
Department of Natural Resources,Contribution,Contributions in support of the Forest Innovation Program,24353130,22881963,21592945,19584720,23895615
Department of Natural Resources,Contribution,Wind Power Production Incentive Contribution Program,25304e3,22113496,16229274,3347627,0
Department of Natural Resources,Contribution,Contribution in support of Investments in the Forest Industry Transformation Program,25625e3,6e6,2095e4,2664e4,35120891
Department of Natural Resources,Contribution,"Contributions in support of organizations associated with the research, development and promotion of activities that contribute to departmental objectives",3150271,2996509,2633529,2020861,2147514
Department of Natural Resources,Contribution,Contributions in support of ecoENERGY Alternative Fuels program,316500,345e3,18e4,0,0
Department of Natural Resources,Contribution,Contribution to the Aboriginal Forestry Initiative,322386,314966,902054,105e4,0
Department of Natural Resources,Contribution,Contributions in support of a sustained engagement and outreach campaign,324300,324640,0,0,0
Department of Natural Resources,Contribution,Contributions in support of the ENERGY Innovation Initiative,34325606,39851251,20749145,10874426,94183206
Department of Natural Resources,Contribution,Climate Change Adaptation Initiatives,4297080,4409829,2488106,0,0
Department of Natural Resources,Contribution,(S) Contribution to the Canada/Newfoundland Offshore Petroleum Board,4708800,5384778,4262e3,2207782,1962465
Department of Natural Resources,Contribution,(S) Payments to the Nova Scotia Offshore Revenue Account,43861520,72159315,28114347,12960118,275316673
Department of Natural Resources,Contribution,Youth Employment Strategy,542481,549931,551349,1615265,7594026
Department of Natural Resources,Contribution,(S) Payments to the Newfoundland Offshore Petroleum Resource Revenue Fund,731533986,751940157,301220044,455431601,246734939
Department of Natural Resources,Contribution,GeoConnections Program,733354,738697,500253,428434,483720
Department of Natural Resources,Contribution,Contributions in support of the Isotope Technology Acceleration Program to advance the development of alternatives to existing medical isotope production technologies,8995e3,416e4,223e4,0,0
Department of Natural Resources,Grant,Grants in support of the Geo-mapping for Energy and Minerals program,86400,799993,789652,8e5,639653
Department of Natural Resources,Contribution,Clean Energy Fund program,9704540,6593300,0,0,0
Department of Natural Resources,Contribution,Forest Communities Program,9e5,0,0,0,0
Department of Public Safety and Emergency Preparedness,Grant,Grant to the Canadian Red Cross in support of 2017 flood relief efforts,0,0,0,0,1e6
Department of Public Safety and Emergency Preparedness,Grant,Grant to the Canadian Red Cross in Support of the 2017 British Columbia Wildfire Relief Efforts,0,0,0,0,38595900
Department of Public Safety and Emergency Preparedness,Contribution,Community Resilience Fund,0,0,0,680095,1852826
Department of Public Safety and Emergency Preparedness,Grant,Grant to the Province of British Columbia to Support its Response to the Opioids Crisis,0,0,0,1e7,0
Department of Public Safety and Emergency Preparedness,Grant,Canadian Red Cross in support of Fort McMurray relief efforts,0,0,0,104466553,0
Department of Public Safety and Emergency Preparedness,Grant,Community Resilience Fund,0,0,0,40811,129132
Department of Public Safety and Emergency Preparedness,Grant,Heavy Urban Search and Rescue Program,0,0,0,31e5,3099750
Department of Public Safety and Emergency Preparedness,Grant,Grant to the Province of Alberta to Support its Response to the Opioids Crisis,0,0,0,6e6,0
Department of Public Safety and Emergency Preparedness,Contribution,National Disaster Mitigation Program,0,0,0,4884019,14574721
Department of Public Safety and Emergency Preparedness,Contribution,COSPAS-SARSAT Secretariat Contribution Program,0,0,142500,19e4,19e4
Department of Public Safety and Emergency Preparedness,Contribution,Contribution in support of the Nation's Capital Extraordinary Policing Costs Program,0,0,2e6,2e6,32e5
Department of Public Safety and Emergency Preparedness,Grant,"Grant to the city of Moncton, New Brunswick, in support of the establishment of a permanent commemorative memorial for three fallen Royal Canadian Mounted Police officers",0,0,258500,201500,0
Department of Public Safety and Emergency Preparedness,Contribution,Search and Rescue Volunteer Association of Canada Contribution Program,0,0,375e3,5e5,5e5
Department of Public Safety and Emergency Preparedness,Contribution,Contribution Program in support of the Search and Rescue New Initiatives Fund,0,0,4808820,6071589,6426865
Department of Public Safety and Emergency Preparedness,Contribution,Cyber Security Cooperation Program,0,15e4,272671,174501,15e4
Department of Public Safety and Emergency Preparedness,Grant,Cyber Security Cooperation Program,0,15e4,64334,120693,15e4
Department of Public Safety and Emergency Preparedness,Contribution,Contribution Program to Combat Serious and Organized Crime,0,1175829,1950345,1786813,3259270
Department of Public Safety and Emergency Preparedness,Contribution,Contributions to the provinces for assistance related to natural disasters,1018988056,305271755,139348326,712717054,581512971
Department of Public Safety and Emergency Preparedness,Grant,Other National Voluntary Organizations active in the criminal justice sector,1796143,1796143,1796143,1777113,1796144
Department of Public Safety and Emergency Preparedness,Contribution,Financial support to Provinces and Territories for 2011 Flood Mitigation Investments,15634720,50431899,0,0,0
Department of Public Safety and Emergency Preparedness,Contribution,Contribution Program to Combat Child Sexual Exploitation and Human Trafficking,2161e3,2135600,2629650,2557599,2034389
Department of Public Safety and Emergency Preparedness,Contribution,Major International Events Security Cost Framework,2687858,2080155,1482766,4849915,7674200
Department of Public Safety and Emergency Preparedness,Contribution,Worker's compensation,233281,180665,192021,308234,304085
Department of Public Safety and Emergency Preparedness,Contribution,"Financial assistance to the Province of Quebec for response and recovery costs from the explosion following the train derailment in Lac-Mégantic, Quebec",25e6,567e5,18734,38281266,0
Department of Public Safety and Emergency Preparedness,Contribution,Contributions in support of the Safer Communities Initiative,29763087,28262488,26093038,31575432,42860836
Department of Public Safety and Emergency Preparedness,Contribution,"Payments to the provinces, territories, and public and private bodies in support of activities complementary to those of the Department of Public Safety and Emergency Preparedness",361321,362e3,356878,644428,921758
Department of Public Safety and Emergency Preparedness,Contribution,"International Association of Fire Fighters, Canada",42e4,5e5,5e5,5e5,5e5
Department of Public Safety and Emergency Preparedness,Grant,Grants in support of the Safer Communities Initiative,468700,336603,191185,1003231,596765
Department of Public Safety and Emergency Preparedness,Grant,Grants to provincial partners for the National Flagging System to identify and track high-risk violent offenders who jeopardize public safety,499913,499913,499196,499196,1e6
Department of Public Safety and Emergency Preparedness,Contribution,Biology Casework Analysis Contribution Program,69e5,69e5,69e5,69e5,69e5
Department of Public Safety and Emergency Preparedness,Contribution,Aboriginal Community Safety Development Contribution Program,675329,684025,700319,944059,832669
Department of Public Safety and Emergency Preparedness,Contribution,"Payments to the provinces, territories, municipalities, Indian band councils and recognized authorities representing Indians on reserve, Indian communities on Crown land and Inuit communities, fo",86732870,81771968,81281859,88435013,85085628
Department of Public Works and Government Services,Grant,(S) Recoveries from custodian departments,-535348287,-549406363,-450405472,-562019872,-572758174
Department of Public Works and Government Services,Grant,(S) Payment in lieu of taxes to municipalities and other taxing authorities,535347554,549406363,450405782,593474917,579548157
Department of Transport,Grant,Program to Protect Canada's Coastlines and Waterways,0,0,0,0,173658
Department of Transport,Contribution,Program to Protect Canada's Coastlines and Waterways,0,0,0,0,1341171
Department of Transport,Contribution,Rail Safety Improvement Contribution Program,0,0,0,2e4,16206260
Department of Transport,Contribution,"Participant Funding Program for Reviews Related to Fish, Fish Habitat and Navigation",0,0,0,1863835,495759
Department of Transport,Contribution,Port Asset Transfer Program,0,0,0,5375382,840251
Department of Transport,Grant,Rail Safety Improvement Program,0,0,0,0,49e3
Department of Transport,Contribution,Contribution to the Greater Moncton International Airport Authority Inc for the Renaming of the Greater Moncton International Airport,0,0,0,95e3,0
Department of Transport,Contribution,Contribution Program for the Centre of Excellence for Marine Transportation of Oil and Liquefied Natural Gas,0,0,849600,781847,1158867
Department of Transport,Grant,Community Participation Funding Program,0,0,11100,275618,982892
Department of Transport,Contribution,Smart Oceans Contribution Program,0,42e5,74e5,84e5,0
Department of Transport,Contribution,Airports Operations and Maintenance Subsidy Program,1401487,1226343,1681470,1879777,1989092
Department of Transport,Contribution,Airports Capital Assistance Program,12869974,27326438,46935184,32323739,34929182
Department of Transport,Contribution,Gateways and Border Crossings Fund,128832901,336389054,330368813,147664998,45818832
Department of Transport,Contribution,Contributions to provinces toward highway improvements to enhance overall efficiency and promote safety while encouraging industrial development and tourism from a regional economic perspective:,13066408,9366718,392610,736172,685868
Department of Transport,Contribution,Remote Passenger Rail Program,12809202,13360273,11355924,11192e3,10030456
Department of Transport,Grant,Grant to the International Civil Aviation Organization for Cooperative Development of Operational Safety and Continuing Airworthiness Program,13e4,13e4,13e4,13e4,129033
Department of Transport,Contribution,Asia-Pacific Gateway and Corridor Transportation Infrastructure Fund,185097539,95145022,43867173,9510920,13171371
Department of Transport,Contribution,"Contribution to Provide Short Term Financial Assistance for the Costs of Repairs, Maintenance, Rehabilitation and Other Related Initiatives Supporting the Ongoing Operations for the Port of Churc",21e5,903176,0,0,0
Department of Transport,Contribution,Yarmouth Ferry Terminal Improvement Program,25e5,0,0,0,0
Department of Transport,Contribution,Canadian Transportation Research Forum's Scholarship program,24e3,24e3,21e3,24e3,24e3
Department of Transport,Contribution,Port Divestiture Fund,24311814,2961864,69322,0,0
Department of Transport,Grant,Grant for the Northern Transportation Adaptation Initiative,249985,15e4,0,9e4,0
Department of Transport,Grant,Grants to support clean transportation initiatives,25e4,27350,25e4,25e4,25e4
Department of Transport,Contribution,Ferry Services Contribution Program,28349829,32616292,31657222,40595398,38718245
Department of Transport,Grant,Grant to the Province of British Columbia in respect of the provision of ferry and coastal freight and passenger services,28372954,28355115,28729747,29157898,29782285
Department of Transport,Contribution,Contribution to the Province of Prince Edward Island for policing services in respect of the Confederation Bridge,287e3,0,0,0,0
Department of Transport,Contribution,"(S) Payments to the Canadian National Railway Company in respect of the termination of the collection of tolls on the Victoria Bridge, Montreal and for rehabilitation work on roadway portion of t",33e5,33e5,33e5,33e5,33e5
Department of Transport,Contribution,Contributions to the Railway Association of Canada for Operation Lifesaver,3e5,3e5,3e5,3e5,0
Department of Transport,Contribution,"Allowances to former employees of Newfoundland Railways, Steamships and Telecommunications Services transferred to Canadian National Railways",391369,316630,275098,250258,221498
